"run_label","scenario","parameter_setting","num_rows","min_distance_to_pedestrians","final_progress","collision_count","source_file"
"auto_BusyABNav_default","BusyABNav","default","107","4.8199","34.4061","0","meta_features_TestAuto_20260616_144400.csv"
"auto_BusyABNav_weak_robot_repulsion","BusyABNav","weak_robot_repulsion","103","2.9034","37.5846","0","meta_features_TestAuto_20260616_144400.csv"
"auto_BusyABNav_strong_robot_repulsion","BusyABNav","strong_robot_repulsion","107","9.6209","13.2975","0","meta_features_TestAuto_20260616_144400.csv"
"auto_BusyABNav_faster_pedestrians","BusyABNav","faster_pedestrians","111","10.0551","19.6325","0","meta_features_TestAuto_20260616_144400.csv"
"auto_BusyABNav_stronger_social_force_A","BusyABNav","stronger_social_force_A","110","6.8448","31.0198","0","meta_features_TestAuto_20260616_144400.csv"
"auto_BusyABNav_larger_social_force_B","BusyABNav","larger_social_force_B","128","1.409","29.4251","0","meta_features_TestAuto_20260616_144400.csv"
"auto_JoinGroup_default","JoinGroup","default","112","431.5576","-403.4172","0","meta_features_TestAuto_20260616_144400.csv"
"auto_JoinGroup_weak_robot_repulsion","JoinGroup","weak_robot_repulsion","111","192.0291","-167.3067","0","meta_features_TestAuto_20260616_144400.csv"
"auto_JoinGroup_strong_robot_repulsion","JoinGroup","strong_robot_repulsion","110","106.6192","150.7477","0","meta_features_TestAuto_20260616_144400.csv"
"auto_JoinGroup_faster_pedestrians","JoinGroup","faster_pedestrians","109","397.4307","-364.8802","0","meta_features_TestAuto_20260616_144400.csv"
"auto_JoinGroup_stronger_social_force_A","JoinGroup","stronger_social_force_A","108","131.8732","-110.4083","0","meta_features_TestAuto_20260616_144400.csv"
"auto_JoinGroup_larger_social_force_B","JoinGroup","larger_social_force_B","119","71.1219","80.7191","0","meta_features_TestAuto_20260616_144400.csv"
"auto_LeaveGroup_default","LeaveGroup","default","103","1.3749","74.992","0","meta_features_TestAuto_20260616_144400.csv"
"auto_LeaveGroup_weak_robot_repulsion","LeaveGroup","weak_robot_repulsion","101","2.5451","74.2808","0","meta_features_TestAuto_20260616_144400.csv"
"auto_LeaveGroup_strong_robot_repulsion","LeaveGroup","strong_robot_repulsion","100","2.0667","74.2395","0","meta_features_TestAuto_20260616_144400.csv"
"auto_LeaveGroup_faster_pedestrians","LeaveGroup","faster_pedestrians","109","1.4107","77.7029","0","meta_features_TestAuto_20260616_144400.csv"
"auto_LeaveGroup_stronger_social_force_A","LeaveGroup","stronger_social_force_A","102","8.8925","11.0635","0","meta_features_TestAuto_20260616_144400.csv"
"auto_LeaveGroup_larger_social_force_B","LeaveGroup","larger_social_force_B","1099","1.3323","77.1067","0","meta_features_TestAuto_20260616_144400.csv"
