time,run_label,robot_x,robot_y,robot_z,goal_x,goal_y,goal_z,dist_to_goal,progress_along_goal_direction,min_dist_to_ped_so_far,current_min_dist_to_ped,collision_count,num_pedestrians,pedestrian_positions
0.000,"Faster_goalhead",0.0000,0.3920,0.0690,0.0000,0.2920,20.0660,19.9970,0.0030,-1,-1.0000,0,0,""
0.353,"Faster_goalhead",-0.0003,3.8920,0.1740,0.0000,0.2920,20.0660,19.8920,0.1080,33.9639,33.9639,0,30,"0:29.748|0.000|20.932;1:29.207|0.000|22.967;2:28.344|0.000|21.950;3:29.531|0.000|19.754;4:29.791|0.000|23.641;5:27.581|0.000|21.238;6:27.344|0.000|20.497;7:30.247|0.000|20.724;8:28.085|0.000|22.254;9:29.931|0.000|19.729;10:28.909|0.000|22.372;11:27.908|0.000|22.613;12:28.248|0.000|19.030;13:30.664|0.000|21.851;14:28.942|0.000|19.443;15:31.013|0.000|69.669;16:28.426|0.000|68.412;17:29.659|0.000|68.518;18:28.937|0.000|69.340;19:29.233|0.000|70.401;20:27.443|0.000|67.642;21:28.771|0.000|68.170;22:29.259|0.000|69.074;23:29.105|0.000|67.950;24:30.003|0.000|68.308;25:29.343|0.000|70.017;26:28.103|0.000|67.830;27:26.415|0.000|67.521;28:27.201|0.000|69.340;29:29.377|0.000|69.456"
0.497,"Faster_goalhead",-0.0005,4.2787,0.2160,0.0000,0.2920,20.0660,19.8500,0.1500,33.9407,33.9407,0,30,"0:29.748|0.000|20.962;1:29.207|0.000|22.967;2:28.344|0.000|21.950;3:29.531|0.000|19.754;4:29.791|0.000|23.641;5:27.581|0.000|21.238;6:27.344|0.000|20.497;7:30.247|0.000|20.724;8:28.085|0.000|22.254;9:29.931|0.000|19.729;10:28.909|0.000|22.372;11:27.908|0.000|22.613;12:28.248|0.000|19.030;13:30.664|0.000|21.851;14:28.942|0.000|19.443;15:31.013|0.000|69.669;16:28.426|0.000|68.412;17:29.659|0.000|68.518;18:28.937|0.000|69.340;19:29.233|0.000|70.401;20:27.443|0.000|67.642;21:28.771|0.000|68.170;22:29.259|0.000|69.074;23:29.105|0.000|67.950;24:30.003|0.000|68.308;25:29.343|0.000|70.017;26:28.103|0.000|67.830;27:26.415|0.000|67.521;28:27.201|0.000|69.340;29:29.377|0.000|69.456"
0.633,"Faster_goalhead",-0.0006,4.2787,0.2581,0.0000,0.2920,20.0660,19.8080,0.1921,33.9175,33.9175,0,30,"0:29.735|0.000|20.982;1:29.212|0.000|22.985;2:28.348|0.000|21.948;3:29.531|0.000|19.754;4:29.791|0.000|23.641;5:27.581|0.000|21.238;6:27.344|0.000|20.497;7:30.247|0.000|20.724;8:28.085|0.000|22.254;9:29.931|0.000|19.729;10:28.909|0.000|22.372;11:27.908|0.000|22.613;12:28.248|0.000|19.030;13:30.664|0.000|21.851;14:28.942|0.000|19.443;15:31.013|0.000|69.669;16:28.426|0.000|68.412;17:29.659|0.000|68.518;18:28.937|0.000|69.340;19:29.233|0.000|70.401;20:27.443|0.000|67.642;21:28.771|0.000|68.170;22:29.259|0.000|69.074;23:29.105|0.000|67.950;24:30.003|0.000|68.308;25:29.343|0.000|70.017;26:28.103|0.000|67.830;27:26.415|0.000|67.521;28:27.201|0.000|69.340;29:29.377|0.000|69.456"
0.778,"Faster_goalhead",-0.0007,4.2787,0.3001,0.0000,0.2920,20.0660,19.7659,0.2341,33.8944,33.8944,0,30,"0:29.734|0.000|20.986;1:29.213|0.000|22.990;2:28.355|0.000|21.945;3:29.529|0.000|19.757;4:29.793|0.000|23.645;5:27.582|0.000|21.243;6:27.343|0.000|20.497;7:30.248|0.000|20.724;8:28.085|0.000|22.254;9:29.931|0.000|19.729;10:28.909|0.000|22.372;11:27.908|0.000|22.613;12:28.248|0.000|19.030;13:30.664|0.000|21.851;14:28.942|0.000|19.443;15:31.013|0.000|69.669;16:28.426|0.000|68.412;17:29.659|0.000|68.518;18:28.937|0.000|69.340;19:29.233|0.000|70.401;20:27.443|0.000|67.642;21:28.771|0.000|68.170;22:29.259|0.000|69.074;23:29.105|0.000|67.950;24:30.003|0.000|68.308;25:29.343|0.000|70.017;26:28.103|0.000|67.830;27:26.415|0.000|67.521;28:27.201|0.000|69.340;29:29.377|0.000|69.456"
0.908,"Faster_goalhead",-0.0008,4.2787,0.3391,0.0000,0.2920,20.0660,19.7269,0.2731,33.8729,33.8729,0,30,"0:29.732|0.000|21.039;1:29.234|0.000|23.047;2:28.424|0.000|21.904;3:29.515|0.000|19.805;4:29.815|0.000|23.700;5:27.598|0.000|21.299;6:27.309|0.000|20.496;7:30.293|0.000|20.717;8:28.068|0.000|22.252;9:29.937|0.000|19.729;10:28.913|0.000|22.372;11:27.900|0.000|22.615;12:28.248|0.000|19.030;13:30.664|0.000|21.851;14:28.942|0.000|19.443;15:31.013|0.000|69.669;16:28.426|0.000|68.412;17:29.659|0.000|68.518;18:28.937|0.000|69.340;19:29.233|0.000|70.401;20:27.443|0.000|67.642;21:28.771|0.000|68.170;22:29.259|0.000|69.074;23:29.105|0.000|67.950;24:30.003|0.000|68.308;25:29.343|0.000|70.017;26:28.103|0.000|67.830;27:26.415|0.000|67.521;28:27.201|0.000|69.340;29:29.377|0.000|69.456"
1.054,"Faster_goalhead",-0.0010,4.2787,0.3841,0.0000,0.2920,20.0660,19.6819,0.3181,33.8053,33.8053,0,30,"0:29.715|0.000|21.151;1:29.262|0.000|23.164;2:28.467|0.000|21.824;3:29.470|0.000|19.940;4:29.849|0.000|23.811;5:27.613|0.000|21.414;6:27.154|0.000|20.518;7:30.350|0.000|20.720;8:27.913|0.000|22.198;9:29.997|0.000|19.748;10:28.960|0.000|22.418;11:27.910|0.000|22.667;12:28.203|0.000|19.029;13:30.664|0.000|21.851;14:28.935|0.000|19.442;15:31.013|0.000|69.669;16:28.426|0.000|68.412;17:29.659|0.000|68.518;18:28.937|0.000|69.340;19:29.233|0.000|70.401;20:27.443|0.000|67.642;21:28.771|0.000|68.170;22:29.259|0.000|69.074;23:29.105|0.000|67.950;24:30.003|0.000|68.308;25:29.343|0.000|70.017;26:28.103|0.000|67.830;27:26.415|0.000|67.521;28:27.201|0.000|69.340;29:29.377|0.000|69.456"
1.179,"Faster_goalhead",-0.0011,4.2787,0.4201,0.0000,0.2920,20.0660,19.6459,0.3541,33.6993,33.6993,0,30,"0:29.689|0.000|21.226;1:29.265|0.000|23.250;2:28.428|0.000|21.876;3:29.417|0.000|20.077;4:29.859|0.000|23.895;5:27.624|0.000|21.436;6:27.072|0.000|20.520;7:30.445|0.000|20.724;8:27.836|0.000|22.174;9:30.091|0.000|19.759;10:29.014|0.000|22.458;11:27.931|0.000|22.767;12:28.071|0.000|19.064;13:30.668|0.000|21.872;14:28.868|0.000|19.444;15:31.013|0.000|69.669;16:28.424|0.000|68.441;17:29.659|0.000|68.528;18:28.936|0.000|69.343;19:29.233|0.000|70.402;20:27.443|0.000|67.642;21:28.771|0.000|68.170;22:29.259|0.000|69.074;23:29.105|0.000|67.950;24:30.003|0.000|68.308;25:29.343|0.000|70.017;26:28.103|0.000|67.830;27:26.415|0.000|67.521;28:27.201|0.000|69.340;29:29.377|0.000|69.456"
1.322,"Faster_goalhead",-0.0012,4.2787,0.4651,0.0000,0.2920,20.0660,19.6009,0.3991,33.5937,33.5937,0,30,"0:29.662|0.000|21.313;1:29.265|0.000|23.365;2:28.536|0.000|21.867;3:29.395|0.000|20.192;4:29.871|0.000|24.006;5:27.561|0.000|21.495;6:26.976|0.000|20.520;7:30.513|0.000|20.724;8:27.725|0.000|22.202;9:30.195|0.000|19.768;10:29.090|0.000|22.502;11:27.935|0.000|22.870;12:27.964|0.000|19.079;13:30.696|0.000|21.982;14:28.726|0.000|19.479;15:31.013|0.000|69.669;16:28.390|0.000|68.559;17:29.641|0.000|68.609;18:28.918|0.000|69.408;19:29.229|0.000|70.448;20:27.402|0.000|67.640;21:28.769|0.000|68.183;22:29.262|0.000|69.073;23:29.108|0.000|67.950;24:30.003|0.000|68.308;25:29.343|0.000|70.017;26:28.103|0.000|67.830;27:26.415|0.000|67.521;28:27.201|0.000|69.340;29:29.378|0.000|69.456"
1.460,"Faster_goalhead",-0.0014,4.2787,0.5071,0.0000,0.2920,20.0660,19.5589,0.4411,33.4980,33.4980,0,30,"0:29.647|0.000|21.392;1:29.257|0.000|23.472;2:28.650|0.000|21.849;3:29.372|0.000|20.300;4:29.880|0.000|24.110;5:27.520|0.000|21.479;6:26.891|0.000|20.520;7:30.626|0.000|20.786;8:27.602|0.000|22.260;9:30.296|0.000|19.769;10:29.167|0.000|22.561;11:27.938|0.000|22.973;12:27.871|0.000|19.089;13:30.695|0.000|22.075;14:28.666|0.000|19.481;15:31.018|0.000|69.686;16:28.323|0.000|68.622;17:29.585|0.000|68.675;18:28.862|0.000|69.508;19:29.187|0.000|70.540;20:27.253|0.000|67.636;21:28.748|0.000|68.269;22:29.300|0.000|69.063;23:29.184|0.000|67.932;24:30.060|0.000|68.298;25:29.356|0.000|70.030;26:28.089|0.000|67.829;27:26.415|0.000|67.521;28:27.201|0.000|69.340;29:29.381|0.000|69.456"
1.596,"Faster_goalhead",-0.0015,4.2787,0.5461,0.0000,0.2920,20.0660,19.5199,0.4801,33.4044,33.4044,0,30,"0:29.634|0.000|21.471;1:29.247|0.000|23.568;2:28.748|0.000|21.839;3:29.350|0.000|20.405;4:29.890|0.000|24.203;5:27.464|0.000|21.470;6:26.814|0.000|20.520;7:30.705|0.000|20.853;8:27.504|0.000|22.342;9:30.393|0.000|19.769;10:29.217|0.000|22.619;11:27.940|0.000|23.077;12:27.777|0.000|19.099;13:30.690|0.000|22.167;14:28.663|0.000|19.474;15:31.038|0.000|69.752;16:28.250|0.000|68.657;17:29.725|0.000|68.669;18:28.790|0.000|69.559;19:29.127|0.000|70.583;20:27.159|0.000|67.669;21:28.730|0.000|68.188;22:29.356|0.000|69.067;23:29.243|0.000|67.875;24:30.126|0.000|68.247;25:29.495|0.000|70.106;26:27.996|0.000|67.826;27:26.417|0.000|67.521;28:27.201|0.000|69.340;29:29.398|0.000|69.484"
