time,run_label,robot_x,robot_y,robot_z,goal_x,goal_y,goal_z,dist_to_goal,progress_along_goal_direction,min_dist_to_ped_so_far,current_min_dist_to_ped,collision_count,num_pedestrians,pedestrian_positions
0.000,"Larger_B_gh",0.0000,0.3920,0.0690,0.0000,0.2920,20.0660,19.9970,0.0030,-1,-1.0000,0,0,""
0.353,"Larger_B_gh",-0.0003,3.8920,0.1740,0.0000,0.2920,20.0660,19.8920,0.1080,34.7469,34.7469,0,30,"0:28.137|0.000|23.429;1:27.595|0.000|22.763;2:29.759|0.000|19.326;3:29.728|0.000|21.415;4:30.442|0.000|23.300;5:28.538|0.000|22.349;6:28.807|0.000|22.050;7:27.408|0.000|21.531;8:30.285|0.000|21.415;9:27.846|0.000|23.074;10:30.674|0.000|21.507;11:29.466|0.000|20.675;12:29.327|0.000|23.379;13:30.253|0.000|22.564;14:29.680|0.000|23.177;15:27.572|0.000|67.687;16:26.946|0.000|68.269;17:27.217|0.000|66.620;18:28.993|0.000|68.850;19:27.890|0.000|68.533;20:28.043|0.000|68.902;21:28.645|0.000|67.913;22:28.828|0.000|68.365;23:28.067|0.000|67.412;24:26.959|0.000|68.669;25:27.267|0.000|69.281;26:28.583|0.000|65.832;27:29.922|0.000|68.746;28:29.417|0.000|68.053;29:29.745|0.000|66.562"
0.481,"Larger_B_gh",-0.0005,4.2787,0.2130,0.0000,0.2920,20.0660,19.8530,0.1470,34.7230,34.7230,0,30,"0:28.157|0.000|23.467;1:27.595|0.000|22.763;2:29.759|0.000|19.326;3:29.728|0.000|21.415;4:30.442|0.000|23.300;5:28.538|0.000|22.349;6:28.807|0.000|22.050;7:27.408|0.000|21.531;8:30.285|0.000|21.415;9:27.846|0.000|23.074;10:30.674|0.000|21.507;11:29.466|0.000|20.675;12:29.327|0.000|23.379;13:30.253|0.000|22.564;14:29.680|0.000|23.177;15:27.572|0.000|67.687;16:26.946|0.000|68.269;17:27.217|0.000|66.620;18:28.993|0.000|68.850;19:27.890|0.000|68.533;20:28.043|0.000|68.902;21:28.645|0.000|67.913;22:28.828|0.000|68.365;23:28.067|0.000|67.412;24:26.959|0.000|68.669;25:27.267|0.000|69.281;26:28.583|0.000|65.832;27:29.922|0.000|68.746;28:29.417|0.000|68.053;29:29.745|0.000|66.562"
0.586,"Larger_B_gh",-0.0005,4.2787,0.2430,0.0000,0.2920,20.0660,19.8230,0.1770,34.7047,34.7047,0,30,"0:28.154|0.000|23.482;1:27.584|0.000|22.760;2:29.759|0.000|19.326;3:29.728|0.000|21.415;4:30.442|0.000|23.300;5:28.538|0.000|22.349;6:28.807|0.000|22.050;7:27.408|0.000|21.531;8:30.285|0.000|21.415;9:27.846|0.000|23.074;10:30.674|0.000|21.507;11:29.466|0.000|20.675;12:29.327|0.000|23.379;13:30.253|0.000|22.564;14:29.680|0.000|23.177;15:27.572|0.000|67.687;16:26.946|0.000|68.269;17:27.217|0.000|66.620;18:28.993|0.000|68.850;19:27.890|0.000|68.533;20:28.043|0.000|68.902;21:28.645|0.000|67.913;22:28.828|0.000|68.365;23:28.067|0.000|67.412;24:26.959|0.000|68.669;25:27.267|0.000|69.281;26:28.583|0.000|65.832;27:29.922|0.000|68.746;28:29.417|0.000|68.053;29:29.745|0.000|66.562"
0.702,"Larger_B_gh",-0.0007,4.2787,0.2791,0.0000,0.2920,20.0660,19.7869,0.2131,34.6827,34.6827,0,30,"0:28.154|0.000|23.487;1:27.583|0.000|22.760;2:29.759|0.000|19.326;3:29.727|0.000|21.415;4:30.442|0.000|23.300;5:28.538|0.000|22.349;6:28.807|0.000|22.050;7:27.408|0.000|21.531;8:30.285|0.000|21.415;9:27.846|0.000|23.074;10:30.674|0.000|21.507;11:29.466|0.000|20.675;12:29.327|0.000|23.379;13:30.253|0.000|22.564;14:29.680|0.000|23.177;15:27.572|0.000|67.687;16:26.946|0.000|68.269;17:27.217|0.000|66.620;18:28.993|0.000|68.850;19:27.890|0.000|68.533;20:28.043|0.000|68.902;21:28.645|0.000|67.913;22:28.828|0.000|68.365;23:28.067|0.000|67.412;24:26.959|0.000|68.669;25:27.267|0.000|69.281;26:28.583|0.000|65.832;27:29.922|0.000|68.746;28:29.417|0.000|68.053;29:29.745|0.000|66.562"
0.815,"Larger_B_gh",-0.0008,4.2787,0.3121,0.0000,0.2920,20.0660,19.7539,0.2461,34.6625,34.6625,0,30,"0:28.154|0.000|23.487;1:27.583|0.000|22.760;2:29.759|0.000|19.326;3:29.727|0.000|21.416;4:30.443|0.000|23.303;5:28.538|0.000|22.352;6:28.813|0.000|22.049;7:27.408|0.000|21.531;8:30.281|0.000|21.415;9:27.846|0.000|23.076;10:30.675|0.000|21.507;11:29.466|0.000|20.675;12:29.327|0.000|23.379;13:30.253|0.000|22.564;14:29.680|0.000|23.177;15:27.572|0.000|67.687;16:26.946|0.000|68.269;17:27.217|0.000|66.620;18:28.993|0.000|68.850;19:27.890|0.000|68.533;20:28.043|0.000|68.902;21:28.645|0.000|67.913;22:28.828|0.000|68.365;23:28.067|0.000|67.412;24:26.959|0.000|68.669;25:27.267|0.000|69.281;26:28.583|0.000|65.832;27:29.922|0.000|68.746;28:29.417|0.000|68.053;29:29.745|0.000|66.562"
0.931,"Larger_B_gh",-0.0009,4.2787,0.3481,0.0000,0.2920,20.0660,19.7179,0.2821,34.6373,34.6373,0,30,"0:28.155|0.000|23.491;1:27.578|0.000|22.758;2:29.759|0.000|19.326;3:29.722|0.000|21.426;4:30.450|0.000|23.318;5:28.538|0.000|22.368;6:28.833|0.000|22.043;7:27.404|0.000|21.531;8:30.261|0.000|21.414;9:27.851|0.000|23.092;10:30.679|0.000|21.512;11:29.459|0.000|20.675;12:29.327|0.000|23.383;13:30.255|0.000|22.564;14:29.680|0.000|23.176;15:27.572|0.000|67.687;16:26.946|0.000|68.269;17:27.217|0.000|66.620;18:28.993|0.000|68.850;19:27.890|0.000|68.533;20:28.043|0.000|68.902;21:28.645|0.000|67.913;22:28.828|0.000|68.365;23:28.067|0.000|67.412;24:26.959|0.000|68.669;25:27.267|0.000|69.281;26:28.583|0.000|65.832;27:29.922|0.000|68.746;28:29.417|0.000|68.053;29:29.745|0.000|66.562"
1.033,"Larger_B_gh",-0.0010,4.2787,0.3781,0.0000,0.2920,20.0660,19.6879,0.3121,34.6067,34.6067,0,30,"0:28.159|0.000|23.504;1:27.558|0.000|22.756;2:29.759|0.000|19.326;3:29.715|0.000|21.442;4:30.460|0.000|23.341;5:28.541|0.000|22.393;6:28.856|0.000|22.029;7:27.390|0.000|21.529;8:30.220|0.000|21.409;9:27.860|0.000|23.117;10:30.688|0.000|21.521;11:29.441|0.000|20.674;12:29.326|0.000|23.395;13:30.263|0.000|22.564;14:29.686|0.000|23.176;15:27.567|0.000|67.686;16:26.943|0.000|68.269;17:27.216|0.000|66.620;18:28.993|0.000|68.850;19:27.890|0.000|68.533;20:28.043|0.000|68.902;21:28.645|0.000|67.913;22:28.828|0.000|68.365;23:28.067|0.000|67.412;24:26.959|0.000|68.669;25:27.267|0.000|69.281;26:28.583|0.000|65.832;27:29.922|0.000|68.746;28:29.417|0.000|68.053;29:29.745|0.000|66.562"
1.137,"Larger_B_gh",-0.0010,4.2787,0.4081,0.0000,0.2920,20.0660,19.6579,0.3421,34.5512,34.5512,0,30,"0:28.169|0.000|23.530;1:27.509|0.000|22.750;2:29.759|0.000|19.326;3:29.708|0.000|21.465;4:30.473|0.000|23.374;5:28.547|0.000|22.429;6:28.873|0.000|22.006;7:27.350|0.000|21.520;8:30.142|0.000|21.403;9:27.877|0.000|23.145;10:30.703|0.000|21.535;11:29.399|0.000|20.666;12:29.328|0.000|23.419;13:30.276|0.000|22.563;14:29.698|0.000|23.174;15:27.555|0.000|67.687;16:26.930|0.000|68.268;17:27.210|0.000|66.620;18:28.994|0.000|68.853;19:27.888|0.000|68.532;20:28.043|0.000|68.903;21:28.645|0.000|67.913;22:28.828|0.000|68.365;23:28.067|0.000|67.412;24:26.959|0.000|68.669;25:27.267|0.000|69.281;26:28.583|0.000|65.832;27:29.922|0.000|68.746;28:29.417|0.000|68.053;29:29.745|0.000|66.562"
1.240,"Larger_B_gh",-0.0011,4.2787,0.4381,0.0000,0.2920,20.0660,19.6279,0.3721,34.4595,34.4595,0,30,"0:28.185|0.000|23.576;1:27.414|0.000|22.747;2:29.759|0.000|19.326;3:29.688|0.000|21.494;4:30.483|0.000|23.407;5:28.539|0.000|22.463;6:28.898|0.000|21.976;7:27.275|0.000|21.497;8:30.122|0.000|21.402;9:27.883|0.000|23.146;10:30.725|0.000|21.554;11:29.317|0.000|20.638;12:29.334|0.000|23.461;13:30.302|0.000|22.560;14:29.714|0.000|23.169;15:27.517|0.000|67.698;16:26.895|0.000|68.258;17:27.185|0.000|66.619;18:29.002|0.000|68.864;19:27.875|0.000|68.532;20:28.047|0.000|68.910;21:28.644|0.000|67.912;22:28.828|0.000|68.366;23:28.067|0.000|67.412;24:26.959|0.000|68.669;25:27.267|0.000|69.281;26:28.583|0.000|65.832;27:29.922|0.000|68.746;28:29.417|0.000|68.053;29:29.745|0.000|66.562"
1.349,"Larger_B_gh",-0.0012,4.2787,0.4711,0.0000,0.2920,20.0660,19.5949,0.4051,34.3940,34.3940,0,30,"0:28.195|0.000|23.627;1:27.386|0.000|22.748;2:29.759|0.000|19.326;3:29.664|0.000|21.526;4:30.497|0.000|23.444;5:28.529|0.000|22.496;6:28.924|0.000|21.935;7:27.228|0.000|21.483;8:30.110|0.000|21.400;9:27.883|0.000|23.146;10:30.750|0.000|21.574;11:29.280|0.000|20.618;12:29.322|0.000|23.515;13:30.365|0.000|22.552;14:29.744|0.000|23.153;15:27.404|0.000|67.700;16:26.828|0.000|68.219;17:27.116|0.000|66.613;18:29.026|0.000|68.879;19:27.835|0.000|68.524;20:28.066|0.000|68.927;21:28.625|0.000|67.910;22:28.831|0.000|68.374;23:28.077|0.000|67.412;24:26.958|0.000|68.677;25:27.268|0.000|69.285;26:28.583|0.000|65.832;27:29.922|0.000|68.746;28:29.417|0.000|68.053;29:29.745|0.000|66.562"
