time,run_label,robot_x,robot_y,robot_z,goal_x,goal_y,goal_z,dist_to_goal,progress_along_goal_direction,min_dist_to_ped_so_far,current_min_dist_to_ped,collision_count,num_pedestrians,pedestrian_positions
0.000,"Strong_goal_head",0.0000,0.3920,0.0690,0.0000,0.2920,20.0660,19.9970,0.0030,-1,-1.0000,0,0,""
0.353,"Strong_goal_head",-0.0003,3.8920,0.1740,0.0000,0.2920,20.0660,19.8920,0.1080,33.1566,33.1566,0,30,"0:30.201|0.000|22.709;1:26.702|0.000|19.830;2:27.769|0.000|23.589;3:30.065|0.000|20.787;4:28.644|0.000|23.405;5:27.018|0.000|21.853;6:28.212|0.000|20.917;7:27.397|0.000|19.567;8:28.154|0.000|20.415;9:26.393|0.000|22.472;10:29.678|0.000|21.397;11:26.028|0.000|22.637;12:26.619|0.000|21.880;13:28.252|0.000|21.428;14:31.225|0.000|21.355;15:28.364|0.000|66.500;16:28.984|0.000|70.428;17:27.359|0.000|70.470;18:30.345|0.000|68.892;19:28.697|0.000|68.752;20:27.076|0.000|68.681;21:31.194|0.000|67.265;22:30.725|0.000|69.130;23:30.065|0.000|66.785;24:28.571|0.000|67.268;25:27.708|0.000|69.635;26:28.960|0.000|71.028;27:28.946|0.000|68.438;28:27.321|0.000|67.410;29:27.720|0.000|70.782"
0.508,"Strong_goal_head",-0.0005,4.2787,0.2190,0.0000,0.2920,20.0660,19.8470,0.1530,33.1301,33.1301,0,30,"0:30.201|0.000|22.709;1:26.702|0.000|19.830;2:27.769|0.000|23.589;3:30.065|0.000|20.787;4:28.644|0.000|23.405;5:27.018|0.000|21.853;6:28.212|0.000|20.917;7:27.397|0.000|19.567;8:28.154|0.000|20.415;9:26.393|0.000|22.472;10:29.678|0.000|21.397;11:26.028|0.000|22.637;12:26.619|0.000|21.880;13:28.252|0.000|21.428;14:31.225|0.000|21.355;15:28.364|0.000|66.500;16:28.984|0.000|70.428;17:27.359|0.000|70.470;18:30.345|0.000|68.892;19:28.697|0.000|68.752;20:27.076|0.000|68.681;21:31.194|0.000|67.265;22:30.725|0.000|69.130;23:30.065|0.000|66.785;24:28.571|0.000|67.268;25:27.708|0.000|69.635;26:28.960|0.000|71.028;27:28.946|0.000|68.438;28:27.321|0.000|67.410;29:27.720|0.000|70.782"
0.625,"Strong_goal_head",-0.0006,4.2787,0.2551,0.0000,0.2920,20.0660,19.8110,0.1891,33.1115,33.1115,0,30,"0:30.202|0.000|22.711;1:26.698|0.000|19.839;2:27.767|0.000|23.588;3:30.066|0.000|20.786;4:28.644|0.000|23.405;5:27.018|0.000|21.853;6:28.212|0.000|20.917;7:27.397|0.000|19.567;8:28.154|0.000|20.415;9:26.393|0.000|22.472;10:29.678|0.000|21.397;11:26.028|0.000|22.637;12:26.619|0.000|21.880;13:28.252|0.000|21.428;14:31.225|0.000|21.355;15:28.364|0.000|66.500;16:28.984|0.000|70.428;17:27.359|0.000|70.470;18:30.345|0.000|68.892;19:28.697|0.000|68.752;20:27.076|0.000|68.681;21:31.194|0.000|67.265;22:30.725|0.000|69.130;23:30.065|0.000|66.785;24:28.571|0.000|67.268;25:27.708|0.000|69.635;26:28.960|0.000|71.028;27:28.946|0.000|68.438;28:27.321|0.000|67.410;29:27.720|0.000|70.782"
0.736,"Strong_goal_head",-0.0007,4.2787,0.2881,0.0000,0.2920,20.0660,19.7779,0.2221,33.0921,33.0921,0,30,"0:30.203|0.000|22.716;1:26.698|0.000|19.840;2:27.767|0.000|23.588;3:30.066|0.000|20.786;4:28.644|0.000|23.405;5:27.018|0.000|21.853;6:28.213|0.000|20.917;7:27.397|0.000|19.567;8:28.154|0.000|20.415;9:26.393|0.000|22.472;10:29.678|0.000|21.397;11:26.028|0.000|22.637;12:26.619|0.000|21.880;13:28.252|0.000|21.428;14:31.225|0.000|21.355;15:28.364|0.000|66.500;16:28.984|0.000|70.428;17:27.359|0.000|70.470;18:30.345|0.000|68.892;19:28.697|0.000|68.752;20:27.076|0.000|68.681;21:31.194|0.000|67.265;22:30.725|0.000|69.130;23:30.065|0.000|66.785;24:28.571|0.000|67.268;25:27.708|0.000|69.635;26:28.960|0.000|71.028;27:28.946|0.000|68.438;28:27.321|0.000|67.410;29:27.720|0.000|70.782"
0.863,"Strong_goal_head",-0.0008,4.2787,0.3271,0.0000,0.2920,20.0660,19.7389,0.2611,33.0693,33.0693,0,30,"0:30.203|0.000|22.723;1:26.698|0.000|19.840;2:27.765|0.000|23.590;3:30.072|0.000|20.784;4:28.648|0.000|23.407;5:27.027|0.000|21.861;6:28.218|0.000|20.927;7:27.405|0.000|19.566;8:28.147|0.000|20.415;9:26.395|0.000|22.471;10:29.678|0.000|21.398;11:26.028|0.000|22.637;12:26.619|0.000|21.880;13:28.252|0.000|21.428;14:31.225|0.000|21.355;15:28.364|0.000|66.500;16:28.984|0.000|70.428;17:27.359|0.000|70.470;18:30.345|0.000|68.892;19:28.697|0.000|68.752;20:27.076|0.000|68.681;21:31.194|0.000|67.265;22:30.725|0.000|69.130;23:30.065|0.000|66.785;24:28.571|0.000|67.268;25:27.708|0.000|69.635;26:28.960|0.000|71.028;27:28.946|0.000|68.438;28:27.321|0.000|67.410;29:27.720|0.000|70.782"
0.988,"Strong_goal_head",-0.0009,4.2787,0.3631,0.0000,0.2920,20.0660,19.7029,0.2971,33.0529,33.0529,0,30,"0:30.203|0.000|22.725;1:26.695|0.000|19.852;2:27.757|0.000|23.607;3:30.092|0.000|20.776;4:28.674|0.000|23.417;5:27.048|0.000|21.876;6:28.228|0.000|20.940;7:27.420|0.000|19.566;8:28.110|0.000|20.407;9:26.409|0.000|22.485;10:29.679|0.000|21.414;11:26.026|0.000|22.647;12:26.607|0.000|21.878;13:28.253|0.000|21.434;14:31.225|0.000|21.355;15:28.364|0.000|66.500;16:28.984|0.000|70.428;17:27.359|0.000|70.470;18:30.345|0.000|68.892;19:28.697|0.000|68.752;20:27.076|0.000|68.681;21:31.194|0.000|67.265;22:30.725|0.000|69.130;23:30.065|0.000|66.785;24:28.571|0.000|67.268;25:27.708|0.000|69.635;26:28.960|0.000|71.028;27:28.946|0.000|68.438;28:27.321|0.000|67.410;29:27.720|0.000|70.782"
1.127,"Strong_goal_head",-0.0010,4.2787,0.4051,0.0000,0.2920,20.0660,19.6609,0.3391,33.0451,33.0451,0,30,"0:30.203|0.000|22.725;1:26.693|0.000|19.883;2:27.746|0.000|23.641;3:30.122|0.000|20.750;4:28.728|0.000|23.432;5:27.086|0.000|21.900;6:28.273|0.000|20.970;7:27.489|0.000|19.568;8:28.029|0.000|20.362;9:26.442|0.000|22.506;10:29.687|0.000|21.458;11:26.024|0.000|22.676;12:26.568|0.000|21.877;13:28.263|0.000|21.468;14:31.215|0.000|21.366;15:28.351|0.000|66.499;16:28.997|0.000|70.427;17:27.344|0.000|70.468;18:30.334|0.000|68.890;19:28.697|0.000|68.754;20:27.076|0.000|68.681;21:31.194|0.000|67.265;22:30.725|0.000|69.130;23:30.065|0.000|66.785;24:28.571|0.000|67.268;25:27.708|0.000|69.635;26:28.960|0.000|71.028;27:28.946|0.000|68.438;28:27.321|0.000|67.410;29:27.720|0.000|70.782"
1.248,"Strong_goal_head",-0.0012,4.2787,0.4411,0.0000,0.2920,20.0660,19.6249,0.3751,33.0426,33.0426,0,30,"0:30.204|0.000|22.730;1:26.687|0.000|19.923;2:27.724|0.000|23.680;3:30.156|0.000|20.715;4:28.776|0.000|23.448;5:27.121|0.000|21.923;6:28.232|0.000|20.974;7:27.500|0.000|19.571;8:27.991|0.000|20.336;9:26.480|0.000|22.531;10:29.692|0.000|21.512;11:26.024|0.000|22.714;12:26.490|0.000|21.849;13:28.278|0.000|21.524;14:31.198|0.000|21.386;15:28.308|0.000|66.493;16:29.027|0.000|70.416;17:27.302|0.000|70.454;18:30.295|0.000|68.879;19:28.693|0.000|68.775;20:27.076|0.000|68.681;21:31.194|0.000|67.265;22:30.729|0.000|69.136;23:30.065|0.000|66.785;24:28.572|0.000|67.269;25:27.708|0.000|69.635;26:28.960|0.000|71.028;27:28.946|0.000|68.438;28:27.321|0.000|67.410;29:27.720|0.000|70.782"
1.354,"Strong_goal_head",-0.0013,4.2787,0.4741,0.0000,0.2920,20.0660,19.5919,0.4081,33.0342,33.0342,0,30,"0:30.210|0.000|22.753;1:26.671|0.000|19.963;2:27.702|0.000|23.715;3:30.182|0.000|20.684;4:28.818|0.000|23.465;5:27.147|0.000|21.941;6:28.257|0.000|20.948;7:27.513|0.000|19.568;8:27.969|0.000|20.300;9:26.512|0.000|22.553;10:29.684|0.000|21.553;11:26.008|0.000|22.757;12:26.451|0.000|21.823;13:28.285|0.000|21.579;14:31.176|0.000|21.414;15:28.220|0.000|66.472;16:29.066|0.000|70.379;17:27.218|0.000|70.469;18:30.222|0.000|68.890;19:28.676|0.000|68.809;20:27.076|0.000|68.681;21:31.194|0.000|67.265;22:30.750|0.000|69.156;23:30.065|0.000|66.785;24:28.578|0.000|67.279;25:27.715|0.000|69.634;26:28.960|0.000|71.034;27:28.952|0.000|68.437;28:27.321|0.000|67.410;29:27.720|0.000|70.782"
1.479,"Strong_goal_head",-0.0014,4.2787,0.5101,0.0000,0.2920,20.0660,19.5559,0.4441,33.0247,33.0247,0,30,"0:30.224|0.000|22.804;1:26.651|0.000|20.011;2:27.675|0.000|23.757;3:30.206|0.000|20.653;4:28.862|0.000|23.488;5:27.174|0.000|21.961;6:28.391|0.000|20.876;7:27.534|0.000|19.558;8:27.948|0.000|20.257;9:26.547|0.000|22.578;10:29.674|0.000|21.599;11:25.986|0.000|22.811;12:26.422|0.000|21.791;13:28.289|0.000|21.636;14:31.143|0.000|21.451;15:28.178|0.000|66.446;16:29.089|0.000|70.345;17:27.186|0.000|70.521;18:30.191|0.000|68.940;19:28.642|0.000|68.839;20:27.076|0.000|68.681;21:31.191|0.000|67.265;22:30.813|0.000|69.188;23:30.065|0.000|66.785;24:28.593|0.000|67.292;25:27.733|0.000|69.635;26:28.954|0.000|71.055;27:28.984|0.000|68.428;28:27.321|0.000|67.410;29:27.727|0.000|70.792"
