time,run_label,robot_x,robot_y,robot_z,goal_x,goal_y,goal_z,dist_to_goal,progress_along_goal_direction,min_dist_to_ped_so_far,current_min_dist_to_ped,collision_count,num_pedestrians,pedestrian_positions
0.000,"Stronger_A_gh",0.0000,0.3920,0.0690,0.0000,0.2920,20.0660,19.9970,0.0030,-1,-1.0000,0,0,""
0.353,"Stronger_A_gh",-0.0003,3.8920,0.1740,0.0000,0.2920,20.0660,19.8920,0.1080,33.6254,33.6254,0,30,"0:26.298|0.000|21.128;1:29.036|0.000|24.337;2:28.485|0.000|20.252;3:28.875|0.000|20.160;4:28.951|0.000|21.622;5:28.504|0.000|20.912;6:29.462|0.000|22.533;7:26.502|0.000|21.565;8:28.358|0.000|21.294;9:28.048|0.000|21.041;10:29.090|0.000|20.672;11:28.995|0.000|22.494;12:30.636|0.000|21.865;13:27.167|0.000|23.205;14:29.626|0.000|21.415;15:29.331|0.000|69.958;16:29.093|0.000|69.611;17:28.228|0.000|69.342;18:31.414|0.000|69.197;19:29.718|0.000|69.298;20:29.132|0.000|67.915;21:28.040|0.000|67.217;22:30.185|0.000|68.048;23:30.585|0.000|68.034;24:29.502|0.000|67.762;25:27.169|0.000|69.163;26:26.767|0.000|69.151;27:30.953|0.000|67.879;28:26.220|0.000|68.360;29:27.647|0.000|67.744"
0.480,"Stronger_A_gh",-0.0005,4.2787,0.2130,0.0000,0.2920,20.0660,19.8530,0.1470,33.5524,33.5524,0,30,"0:26.247|0.000|21.113;1:29.036|0.000|24.337;2:28.485|0.000|20.252;3:28.875|0.000|20.160;4:28.951|0.000|21.622;5:28.504|0.000|20.912;6:29.462|0.000|22.533;7:26.502|0.000|21.565;8:28.358|0.000|21.294;9:28.048|0.000|21.041;10:29.090|0.000|20.672;11:28.995|0.000|22.494;12:30.636|0.000|21.865;13:27.167|0.000|23.205;14:29.626|0.000|21.415;15:29.331|0.000|69.958;16:29.093|0.000|69.611;17:28.228|0.000|69.342;18:31.414|0.000|69.197;19:29.718|0.000|69.298;20:29.132|0.000|67.915;21:28.040|0.000|67.217;22:30.185|0.000|68.048;23:30.585|0.000|68.034;24:29.502|0.000|67.762;25:27.169|0.000|69.163;26:26.767|0.000|69.151;27:30.953|0.000|67.879;28:26.220|0.000|68.360;29:27.647|0.000|67.744"
0.599,"Stronger_A_gh",-0.0006,4.2787,0.2460,0.0000,0.2920,20.0660,19.8200,0.1800,33.5320,33.5320,0,30,"0:26.247|0.000|21.113;1:29.036|0.000|24.337;2:28.479|0.000|20.248;3:28.876|0.000|20.159;4:28.951|0.000|21.623;5:28.504|0.000|20.912;6:29.462|0.000|22.533;7:26.502|0.000|21.565;8:28.358|0.000|21.294;9:28.048|0.000|21.041;10:29.090|0.000|20.672;11:28.995|0.000|22.494;12:30.636|0.000|21.865;13:27.167|0.000|23.205;14:29.626|0.000|21.415;15:29.331|0.000|69.958;16:29.093|0.000|69.611;17:28.228|0.000|69.342;18:31.414|0.000|69.197;19:29.718|0.000|69.298;20:29.132|0.000|67.915;21:28.040|0.000|67.217;22:30.185|0.000|68.048;23:30.585|0.000|68.034;24:29.502|0.000|67.762;25:27.169|0.000|69.163;26:26.767|0.000|69.151;27:30.953|0.000|67.879;28:26.220|0.000|68.360;29:27.647|0.000|67.744"
0.706,"Stronger_A_gh",-0.0007,4.2787,0.2791,0.0000,0.2920,20.0660,19.7869,0.2131,33.5113,33.5113,0,30,"0:26.247|0.000|21.113;1:29.036|0.000|24.338;2:28.479|0.000|20.248;3:28.876|0.000|20.159;4:28.951|0.000|21.623;5:28.504|0.000|20.912;6:29.462|0.000|22.533;7:26.502|0.000|21.565;8:28.358|0.000|21.294;9:28.048|0.000|21.041;10:29.090|0.000|20.672;11:28.995|0.000|22.494;12:30.636|0.000|21.865;13:27.167|0.000|23.205;14:29.626|0.000|21.415;15:29.331|0.000|69.958;16:29.093|0.000|69.611;17:28.228|0.000|69.342;18:31.414|0.000|69.197;19:29.718|0.000|69.298;20:29.132|0.000|67.915;21:28.040|0.000|67.217;22:30.185|0.000|68.048;23:30.585|0.000|68.034;24:29.502|0.000|67.762;25:27.169|0.000|69.163;26:26.767|0.000|69.151;27:30.953|0.000|67.879;28:26.220|0.000|68.360;29:27.647|0.000|67.744"
0.824,"Stronger_A_gh",-0.0008,4.2787,0.3151,0.0000,0.2920,20.0660,19.7509,0.2491,33.4890,33.4890,0,30,"0:26.247|0.000|21.113;1:29.036|0.000|24.338;2:28.479|0.000|20.248;3:28.879|0.000|20.158;4:28.952|0.000|21.628;5:28.511|0.000|20.909;6:29.464|0.000|22.535;7:26.504|0.000|21.569;8:28.358|0.000|21.296;9:28.046|0.000|21.041;10:29.090|0.000|20.672;11:28.995|0.000|22.494;12:30.636|0.000|21.865;13:27.167|0.000|23.205;14:29.626|0.000|21.415;15:29.331|0.000|69.958;16:29.093|0.000|69.611;17:28.228|0.000|69.342;18:31.414|0.000|69.197;19:29.718|0.000|69.298;20:29.132|0.000|67.915;21:28.040|0.000|67.217;22:30.185|0.000|68.048;23:30.585|0.000|68.034;24:29.502|0.000|67.762;25:27.169|0.000|69.163;26:26.767|0.000|69.151;27:30.953|0.000|67.879;28:26.220|0.000|68.360;29:27.647|0.000|67.744"
0.925,"Stronger_A_gh",-0.0009,4.2787,0.3451,0.0000,0.2920,20.0660,19.7209,0.2791,33.4676,33.4676,0,30,"0:26.245|0.000|21.111;1:29.036|0.000|24.338;2:28.474|0.000|20.252;3:28.889|0.000|20.151;4:28.957|0.000|21.645;5:28.531|0.000|20.900;6:29.470|0.000|22.543;7:26.510|0.000|21.584;8:28.361|0.000|21.308;9:28.032|0.000|21.038;10:29.092|0.000|20.675;11:28.994|0.000|22.495;12:30.636|0.000|21.865;13:27.167|0.000|23.205;14:29.626|0.000|21.415;15:29.331|0.000|69.958;16:29.093|0.000|69.611;17:28.228|0.000|69.342;18:31.414|0.000|69.197;19:29.718|0.000|69.298;20:29.132|0.000|67.915;21:28.040|0.000|67.217;22:30.185|0.000|68.048;23:30.585|0.000|68.034;24:29.502|0.000|67.762;25:27.169|0.000|69.163;26:26.767|0.000|69.151;27:30.953|0.000|67.879;28:26.220|0.000|68.360;29:27.647|0.000|67.744"
1.046,"Stronger_A_gh",-0.0010,4.2787,0.3811,0.0000,0.2920,20.0660,19.6849,0.3151,33.4261,33.4261,0,30,"0:26.232|0.000|21.096;1:29.036|0.000|24.338;2:28.456|0.000|20.264;3:28.908|0.000|20.149;4:28.970|0.000|21.690;5:28.572|0.000|20.865;6:29.488|0.000|22.561;7:26.525|0.000|21.621;8:28.370|0.000|21.343;9:28.004|0.000|21.056;10:29.100|0.000|20.689;11:28.987|0.000|22.507;12:30.644|0.000|21.874;13:27.167|0.000|23.205;14:29.628|0.000|21.415;15:29.331|0.000|69.959;16:29.092|0.000|69.611;17:28.228|0.000|69.342;18:31.414|0.000|69.197;19:29.718|0.000|69.298;20:29.132|0.000|67.915;21:28.040|0.000|67.217;22:30.185|0.000|68.048;23:30.585|0.000|68.034;24:29.502|0.000|67.762;25:27.169|0.000|69.163;26:26.767|0.000|69.151;27:30.953|0.000|67.879;28:26.220|0.000|68.360;29:27.647|0.000|67.744"
1.148,"Stronger_A_gh",-0.0011,4.2787,0.4111,0.0000,0.2920,20.0660,19.6549,0.3451,33.3655,33.3655,0,30,"0:26.205|0.000|21.063;1:29.036|0.000|24.338;2:28.404|0.000|20.275;3:28.934|0.000|20.137;4:28.985|0.000|21.751;5:28.523|0.000|20.894;6:29.510|0.000|22.583;7:26.540|0.000|21.668;8:28.386|0.000|21.400;9:27.970|0.000|21.076;10:29.119|0.000|20.713;11:28.978|0.000|22.524;12:30.658|0.000|21.888;13:27.168|0.000|23.205;14:29.638|0.000|21.425;15:29.337|0.000|69.969;16:29.078|0.000|69.608;17:28.220|0.000|69.342;18:31.414|0.000|69.197;19:29.719|0.000|69.298;20:29.132|0.000|67.915;21:28.040|0.000|67.217;22:30.185|0.000|68.048;23:30.585|0.000|68.034;24:29.502|0.000|67.762;25:27.169|0.000|69.163;26:26.767|0.000|69.151;27:30.953|0.000|67.879;28:26.220|0.000|68.360;29:27.647|0.000|67.744"
1.281,"Stronger_A_gh",-0.0012,4.2787,0.4531,0.0000,0.2920,20.0660,19.6129,0.3871,33.2415,33.2415,0,30,"0:26.160|0.000|20.962;1:29.038|0.000|24.342;2:28.289|0.000|20.238;3:28.984|0.000|20.077;4:28.950|0.000|21.745;5:28.544|0.000|20.886;6:29.538|0.000|22.613;7:26.551|0.000|21.718;8:28.402|0.000|21.481;9:27.918|0.000|21.106;10:29.126|0.000|20.734;11:28.962|0.000|22.562;12:30.689|0.000|21.919;13:27.173|0.000|23.210;14:29.674|0.000|21.444;15:29.359|0.000|70.005;16:29.027|0.000|69.588;17:28.185|0.000|69.338;18:31.416|0.000|69.198;19:29.739|0.000|69.293;20:29.130|0.000|67.923;21:28.048|0.000|67.215;22:30.184|0.000|68.049;23:30.585|0.000|68.035;24:29.502|0.000|67.762;25:27.169|0.000|69.163;26:26.767|0.000|69.151;27:30.953|0.000|67.879;28:26.220|0.000|68.360;29:27.647|0.000|67.744"
1.410,"Stronger_A_gh",-0.0013,4.2787,0.4891,0.0000,0.2920,20.0660,19.5769,0.4231,33.1775,33.1775,0,30,"0:26.149|0.000|20.908;1:29.049|0.000|24.365;2:28.243|0.000|20.227;3:29.003|0.000|20.040;4:28.948|0.000|21.757;5:28.570|0.000|20.845;6:29.560|0.000|22.635;7:26.561|0.000|21.768;8:28.406|0.000|21.490;9:27.878|0.000|21.129;10:29.140|0.000|20.750;11:28.936|0.000|22.599;12:30.720|0.000|21.957;13:27.193|0.000|23.229;14:29.719|0.000|21.466;15:29.390|0.000|70.062;16:28.955|0.000|69.566;17:28.102|0.000|69.317;18:31.437|0.000|69.206;19:29.751|0.000|69.288;20:29.115|0.000|67.959;21:28.081|0.000|67.203;22:30.176|0.000|68.066;23:30.583|0.000|68.046;24:29.517|0.000|67.759;25:27.172|0.000|69.167;26:26.766|0.000|69.152;27:30.954|0.000|67.879;28:26.220|0.000|68.360;29:27.647|0.000|67.744"
