time,run_label,robot_x,robot_y,robot_z,goal_x,goal_y,goal_z,dist_to_goal,progress_along_goal_direction,min_dist_to_ped_so_far,current_min_dist_to_ped,collision_count,num_pedestrians,pedestrian_positions
0.000,"auto_default",0.0000,0.3920,0.0690,0.0000,0.2920,20.0660,19.9970,0.0030,-1,-1.0000,0,0,""
0.353,"auto_default",-0.0003,3.8920,0.1740,0.0000,0.2920,20.0660,19.8920,0.1080,34.5802,34.5802,0,30,"0:30.711|0.000|19.717;1:27.599|0.000|23.497;2:30.212|0.000|22.790;3:29.142|0.000|21.173;4:28.685|0.000|22.036;5:29.315|0.000|21.770;6:27.446|0.000|21.559;7:30.407|0.000|22.165;8:29.075|0.000|22.428;9:29.683|0.000|24.165;10:28.613|0.000|19.716;11:28.038|0.000|21.576;12:28.578|0.000|21.650;13:26.473|0.000|22.422;14:31.314|0.000|21.023;15:27.105|0.000|68.140;16:30.209|0.000|68.662;17:29.656|0.000|69.509;18:28.249|0.000|68.209;19:29.838|0.000|68.269;20:28.775|0.000|69.688;21:27.451|0.000|70.426;22:29.100|0.000|67.662;23:27.081|0.000|68.587;24:27.024|0.000|66.700;25:27.667|0.000|68.792;26:28.687|0.000|69.285;27:28.523|0.000|68.501;28:30.821|0.000|66.793;29:31.152|0.000|68.276"
0.458,"auto_default",-0.0004,4.2787,0.2040,0.0000,0.2920,20.0660,19.8620,0.1380,34.5609,34.5609,0,30,"0:30.711|0.000|19.717;1:27.599|0.000|23.497;2:30.212|0.000|22.790;3:29.142|0.000|21.173;4:28.685|0.000|22.036;5:29.315|0.000|21.770;6:27.446|0.000|21.559;7:30.407|0.000|22.165;8:29.075|0.000|22.428;9:29.683|0.000|24.165;10:28.613|0.000|19.716;11:28.038|0.000|21.576;12:28.578|0.000|21.650;13:26.473|0.000|22.422;14:31.314|0.000|21.023;15:27.105|0.000|68.140;16:30.209|0.000|68.662;17:29.656|0.000|69.509;18:28.249|0.000|68.209;19:29.838|0.000|68.269;20:28.775|0.000|69.688;21:27.451|0.000|70.426;22:29.100|0.000|67.662;23:27.081|0.000|68.587;24:27.024|0.000|66.700;25:27.667|0.000|68.792;26:28.687|0.000|69.285;27:28.523|0.000|68.501;28:30.821|0.000|66.793;29:31.152|0.000|68.276"
0.561,"auto_default",-0.0005,4.2787,0.2370,0.0000,0.2920,20.0660,19.8290,0.1710,34.5398,34.5398,0,30,"0:30.711|0.000|19.717;1:27.599|0.000|23.497;2:30.217|0.000|22.802;3:29.147|0.000|21.162;4:28.696|0.000|22.046;5:29.315|0.000|21.770;6:27.446|0.000|21.559;7:30.407|0.000|22.165;8:29.075|0.000|22.428;9:29.683|0.000|24.165;10:28.613|0.000|19.716;11:28.038|0.000|21.576;12:28.578|0.000|21.650;13:26.473|0.000|22.422;14:31.314|0.000|21.023;15:27.105|0.000|68.140;16:30.209|0.000|68.662;17:29.656|0.000|69.509;18:28.249|0.000|68.209;19:29.838|0.000|68.269;20:28.775|0.000|69.688;21:27.451|0.000|70.426;22:29.100|0.000|67.662;23:27.081|0.000|68.587;24:27.024|0.000|66.700;25:27.667|0.000|68.792;26:28.687|0.000|69.285;27:28.523|0.000|68.501;28:30.821|0.000|66.793;29:31.152|0.000|68.276"
0.676,"auto_default",-0.0006,4.2787,0.2701,0.0000,0.2920,20.0660,19.7959,0.2041,34.5187,34.5187,0,30,"0:30.710|0.000|19.721;1:27.599|0.000|23.497;2:30.216|0.000|22.804;3:29.148|0.000|21.162;4:28.695|0.000|22.047;5:29.316|0.000|21.770;6:27.446|0.000|21.559;7:30.407|0.000|22.165;8:29.075|0.000|22.428;9:29.683|0.000|24.165;10:28.613|0.000|19.716;11:28.038|0.000|21.576;12:28.578|0.000|21.650;13:26.473|0.000|22.422;14:31.314|0.000|21.023;15:27.105|0.000|68.140;16:30.209|0.000|68.662;17:29.656|0.000|69.509;18:28.249|0.000|68.209;19:29.838|0.000|68.269;20:28.775|0.000|69.688;21:27.451|0.000|70.426;22:29.100|0.000|67.662;23:27.081|0.000|68.587;24:27.024|0.000|66.700;25:27.667|0.000|68.792;26:28.687|0.000|69.285;27:28.523|0.000|68.501;28:30.821|0.000|66.793;29:31.152|0.000|68.276"
0.789,"auto_default",-0.0007,4.2787,0.3031,0.0000,0.2920,20.0660,19.7629,0.2371,34.4976,34.4976,0,30,"0:30.707|0.000|19.726;1:27.599|0.000|23.499;2:30.216|0.000|22.804;3:29.149|0.000|21.162;4:28.695|0.000|22.048;5:29.317|0.000|21.771;6:27.444|0.000|21.562;7:30.411|0.000|22.165;8:29.077|0.000|22.434;9:29.683|0.000|24.165;10:28.613|0.000|19.716;11:28.037|0.000|21.576;12:28.577|0.000|21.650;13:26.473|0.000|22.422;14:31.314|0.000|21.023;15:27.105|0.000|68.140;16:30.209|0.000|68.662;17:29.656|0.000|69.509;18:28.249|0.000|68.209;19:29.838|0.000|68.269;20:28.775|0.000|69.688;21:27.451|0.000|70.426;22:29.100|0.000|67.662;23:27.081|0.000|68.587;24:27.024|0.000|66.700;25:27.667|0.000|68.792;26:28.687|0.000|69.285;27:28.523|0.000|68.501;28:30.821|0.000|66.793;29:31.152|0.000|68.276"
0.896,"auto_default",-0.0008,4.2787,0.3361,0.0000,0.2920,20.0660,19.7299,0.2701,34.4789,34.4789,0,30,"0:30.704|0.000|19.730;1:27.599|0.000|23.500;2:30.216|0.000|22.811;3:29.157|0.000|21.157;4:28.697|0.000|22.058;5:29.321|0.000|21.776;6:27.436|0.000|21.571;7:30.426|0.000|22.162;8:29.085|0.000|22.453;9:29.683|0.000|24.165;10:28.613|0.000|19.716;11:28.022|0.000|21.575;12:28.565|0.000|21.649;13:26.475|0.000|22.423;14:31.310|0.000|21.024;15:27.105|0.000|68.140;16:30.210|0.000|68.664;17:29.657|0.000|69.509;18:28.248|0.000|68.209;19:29.838|0.000|68.269;20:28.775|0.000|69.688;21:27.451|0.000|70.426;22:29.100|0.000|67.662;23:27.081|0.000|68.587;24:27.024|0.000|66.700;25:27.667|0.000|68.792;26:28.687|0.000|69.285;27:28.523|0.000|68.501;28:30.821|0.000|66.793;29:31.152|0.000|68.276"
1.006,"auto_default",-0.0009,4.2787,0.3691,0.0000,0.2920,20.0660,19.6969,0.3031,34.4789,34.4792,0,30,"0:30.703|0.000|19.731;1:27.599|0.000|23.500;2:30.221|0.000|22.835;3:29.180|0.000|21.136;4:28.704|0.000|22.086;5:29.335|0.000|21.789;6:27.421|0.000|21.591;7:30.452|0.000|22.150;8:29.101|0.000|22.492;9:29.683|0.000|24.165;10:28.613|0.000|19.716;11:27.985|0.000|21.566;12:28.528|0.000|21.639;13:26.492|0.000|22.436;14:31.293|0.000|21.037;15:27.112|0.000|68.138;16:30.219|0.000|68.677;17:29.665|0.000|69.516;18:28.233|0.000|68.207;19:29.830|0.000|68.268;20:28.777|0.000|69.692;21:27.451|0.000|70.426;22:29.100|0.000|67.662;23:27.081|0.000|68.588;24:27.024|0.000|66.700;25:27.667|0.000|68.792;26:28.687|0.000|69.285;27:28.523|0.000|68.501;28:30.821|0.000|66.793;29:31.152|0.000|68.276"
1.106,"auto_default",-0.0010,4.2787,0.3991,0.0000,0.2920,20.0660,19.6669,0.3331,34.4789,34.4876,0,30,"0:30.703|0.000|19.731;1:27.599|0.000|23.500;2:30.232|0.000|22.877;3:29.199|0.000|21.100;4:28.719|0.000|22.120;5:29.356|0.000|21.805;6:27.402|0.000|21.618;7:30.473|0.000|22.129;8:29.117|0.000|22.543;9:29.683|0.000|24.167;10:28.611|0.000|19.720;11:27.930|0.000|21.545;12:28.473|0.000|21.615;13:26.515|0.000|22.451;14:31.271|0.000|21.058;15:27.134|0.000|68.128;16:30.246|0.000|68.699;17:29.689|0.000|69.534;18:28.198|0.000|68.197;19:29.805|0.000|68.263;20:28.786|0.000|69.705;21:27.451|0.000|70.426;22:29.100|0.000|67.662;23:27.080|0.000|68.597;24:27.024|0.000|66.700;25:27.669|0.000|68.795;26:28.684|0.000|69.284;27:28.523|0.000|68.502;28:30.821|0.000|66.793;29:31.152|0.000|68.276"
1.208,"auto_default",-0.0011,4.2787,0.4291,0.0000,0.2920,20.0660,19.6369,0.3631,34.4789,34.5072,0,30,"0:30.701|0.000|19.734;1:27.599|0.000|23.500;2:30.242|0.000|22.940;3:29.227|0.000|21.031;4:28.735|0.000|22.127;5:29.381|0.000|21.820;6:27.373|0.000|21.660;7:30.506|0.000|22.098;8:29.126|0.000|22.586;9:29.685|0.000|24.179;10:28.606|0.000|19.734;11:27.885|0.000|21.521;12:28.425|0.000|21.602;13:26.548|0.000|22.472;14:31.241|0.000|21.083;15:27.170|0.000|68.099;16:30.286|0.000|68.710;17:29.766|0.000|69.561;18:28.139|0.000|68.164;19:29.759|0.000|68.246;20:28.809|0.000|69.723;21:27.451|0.000|70.426;22:29.100|0.000|67.662;23:27.074|0.000|68.623;24:27.024|0.000|66.700;25:27.681|0.000|68.811;26:28.662|0.000|69.281;27:28.531|0.000|68.514;28:30.821|0.000|66.793;29:31.152|0.000|68.276"
1.308,"auto_default",-0.0012,4.2787,0.4591,0.0000,0.2920,20.0660,19.6069,0.3931,34.4789,34.5023,0,30,"0:30.697|0.000|19.743;1:27.601|0.000|23.508;2:30.238|0.000|22.986;3:29.245|0.000|20.975;4:28.731|0.000|22.142;5:29.419|0.000|21.834;6:27.346|0.000|21.703;7:30.532|0.000|22.070;8:29.135|0.000|22.629;9:29.693|0.000|24.205;10:28.599|0.000|19.757;11:27.870|0.000|21.478;12:28.404|0.000|21.597;13:26.584|0.000|22.499;14:31.209|0.000|21.108;15:27.197|0.000|68.052;16:30.301|0.000|68.709;17:29.785|0.000|69.530;18:28.086|0.000|68.122;19:29.699|0.000|68.221;20:28.842|0.000|69.733;21:27.452|0.000|70.426;22:29.100|0.000|67.662;23:27.057|0.000|68.660;24:27.024|0.000|66.700;25:27.703|0.000|68.825;26:28.622|0.000|69.268;27:28.550|0.000|68.532;28:30.821|0.000|66.793;29:31.152|0.000|68.276"
