time,run_label,robot_x,robot_y,robot_z,goal_x,goal_y,goal_z,dist_to_goal,progress_along_goal_direction,min_dist_to_ped_so_far,current_min_dist_to_ped,collision_count,num_pedestrians,pedestrian_positions
0.000,"default_goal_head",0.0000,0.3920,0.0690,0.0000,0.2920,20.0660,19.9970,0.0030,-1,-1.0000,0,0,""
0.353,"default_goal_head",-0.0003,3.8920,0.1740,0.0000,0.2920,20.0660,19.8920,0.1080,33.7135,33.7135,0,30,"0:28.293|0.000|21.846;1:27.652|0.000|22.211;2:28.666|0.000|21.645;3:27.590|0.000|19.548;4:29.457|0.000|21.067;5:29.781|0.000|22.301;6:28.696|0.000|21.239;7:27.644|0.000|19.947;8:27.212|0.000|20.560;9:29.708|0.000|21.415;10:28.991|0.000|23.858;11:26.829|0.000|20.995;12:30.202|0.000|22.006;13:27.610|0.000|23.038;14:29.267|0.000|20.031;15:27.454|0.000|66.909;16:28.680|0.000|68.604;17:28.943|0.000|66.492;18:28.864|0.000|68.249;19:27.751|0.000|68.033;20:30.653|0.000|70.034;21:30.612|0.000|67.538;22:29.366|0.000|66.291;23:28.134|0.000|67.917;24:27.617|0.000|68.942;25:29.411|0.000|68.554;26:27.816|0.000|70.088;27:27.485|0.000|69.806;28:28.913|0.000|69.037;29:29.685|0.000|70.827"
0.504,"default_goal_head",-0.0005,4.2787,0.2190,0.0000,0.2920,20.0660,19.8470,0.1530,33.6878,33.6878,0,30,"0:28.296|0.000|21.869;1:27.652|0.000|22.211;2:28.666|0.000|21.645;3:27.590|0.000|19.548;4:29.457|0.000|21.067;5:29.781|0.000|22.301;6:28.696|0.000|21.239;7:27.644|0.000|19.947;8:27.212|0.000|20.560;9:29.708|0.000|21.415;10:28.991|0.000|23.858;11:26.829|0.000|20.995;12:30.202|0.000|22.006;13:27.610|0.000|23.038;14:29.267|0.000|20.031;15:27.454|0.000|66.909;16:28.680|0.000|68.604;17:28.943|0.000|66.492;18:28.864|0.000|68.249;19:27.751|0.000|68.033;20:30.653|0.000|70.034;21:30.612|0.000|67.538;22:29.366|0.000|66.291;23:28.134|0.000|67.917;24:27.617|0.000|68.942;25:29.411|0.000|68.554;26:27.816|0.000|70.088;27:27.485|0.000|69.806;28:28.913|0.000|69.037;29:29.685|0.000|70.827"
0.628,"default_goal_head",-0.0006,4.2787,0.2551,0.0000,0.2920,20.0660,19.8110,0.1891,33.6664,33.6664,0,30,"0:28.285|0.000|21.886;1:27.646|0.000|22.211;2:28.668|0.000|21.648;3:27.589|0.000|19.548;4:29.457|0.000|21.066;5:29.781|0.000|22.301;6:28.696|0.000|21.239;7:27.644|0.000|19.947;8:27.212|0.000|20.560;9:29.708|0.000|21.415;10:28.991|0.000|23.858;11:26.829|0.000|20.995;12:30.202|0.000|22.006;13:27.610|0.000|23.038;14:29.267|0.000|20.031;15:27.454|0.000|66.909;16:28.680|0.000|68.604;17:28.943|0.000|66.492;18:28.864|0.000|68.249;19:27.751|0.000|68.033;20:30.653|0.000|70.034;21:30.612|0.000|67.538;22:29.366|0.000|66.291;23:28.134|0.000|67.917;24:27.617|0.000|68.942;25:29.411|0.000|68.554;26:27.816|0.000|70.088;27:27.485|0.000|69.806;28:28.913|0.000|69.037;29:29.685|0.000|70.827"
0.750,"default_goal_head",-0.0007,4.2787,0.2941,0.0000,0.2920,20.0660,19.7719,0.2281,33.6442,33.6442,0,30,"0:28.283|0.000|21.890;1:27.646|0.000|22.212;2:28.668|0.000|21.648;3:27.589|0.000|19.548;4:29.457|0.000|21.066;5:29.781|0.000|22.302;6:28.697|0.000|21.239;7:27.644|0.000|19.947;8:27.212|0.000|20.560;9:29.708|0.000|21.415;10:28.991|0.000|23.858;11:26.829|0.000|20.995;12:30.202|0.000|22.006;13:27.610|0.000|23.038;14:29.267|0.000|20.031;15:27.454|0.000|66.909;16:28.680|0.000|68.604;17:28.943|0.000|66.492;18:28.864|0.000|68.249;19:27.751|0.000|68.033;20:30.653|0.000|70.034;21:30.612|0.000|67.538;22:29.366|0.000|66.291;23:28.134|0.000|67.917;24:27.617|0.000|68.942;25:29.411|0.000|68.554;26:27.816|0.000|70.088;27:27.485|0.000|69.806;28:28.913|0.000|69.037;29:29.685|0.000|70.827"
0.855,"default_goal_head",-0.0008,4.2787,0.3241,0.0000,0.2920,20.0660,19.7419,0.2581,33.6169,33.6169,0,30,"0:28.283|0.000|21.890;1:27.646|0.000|22.212;2:28.669|0.000|21.652;3:27.580|0.000|19.544;4:29.448|0.000|21.063;5:29.781|0.000|22.311;6:28.709|0.000|21.237;7:27.646|0.000|19.954;8:27.217|0.000|20.559;9:29.709|0.000|21.416;10:28.991|0.000|23.858;11:26.829|0.000|20.995;12:30.202|0.000|22.006;13:27.610|0.000|23.038;14:29.267|0.000|20.031;15:27.454|0.000|66.909;16:28.680|0.000|68.604;17:28.943|0.000|66.492;18:28.864|0.000|68.249;19:27.751|0.000|68.033;20:30.653|0.000|70.034;21:30.612|0.000|67.538;22:29.366|0.000|66.291;23:28.134|0.000|67.917;24:27.617|0.000|68.942;25:29.411|0.000|68.554;26:27.816|0.000|70.088;27:27.485|0.000|69.806;28:28.913|0.000|69.037;29:29.685|0.000|70.827"
0.973,"default_goal_head",-0.0009,4.2787,0.3601,0.0000,0.2920,20.0660,19.7059,0.2941,33.5569,33.5569,0,30,"0:28.282|0.000|21.896;1:27.641|0.000|22.217;2:28.677|0.000|21.671;3:27.546|0.000|19.523;4:29.414|0.000|21.045;5:29.782|0.000|22.338;6:28.747|0.000|21.222;7:27.654|0.000|19.979;8:27.236|0.000|20.556;9:29.714|0.000|21.429;10:28.991|0.000|23.858;11:26.829|0.000|21.002;12:30.207|0.000|22.005;13:27.610|0.000|23.040;14:29.267|0.000|20.031;15:27.454|0.000|66.909;16:28.680|0.000|68.604;17:28.943|0.000|66.492;18:28.864|0.000|68.249;19:27.751|0.000|68.033;20:30.653|0.000|70.034;21:30.612|0.000|67.538;22:29.366|0.000|66.291;23:28.134|0.000|67.917;24:27.617|0.000|68.942;25:29.411|0.000|68.554;26:27.816|0.000|70.088;27:27.485|0.000|69.806;28:28.913|0.000|69.037;29:29.685|0.000|70.827"
1.086,"default_goal_head",-0.0010,4.2787,0.3931,0.0000,0.2920,20.0660,19.6729,0.3271,33.4681,33.4681,0,30,"0:28.281|0.000|21.915;1:27.630|0.000|22.232;2:28.685|0.000|21.694;3:27.496|0.000|19.472;4:29.363|0.000|21.001;5:29.789|0.000|22.383;6:28.787|0.000|21.182;7:27.663|0.000|20.014;8:27.248|0.000|20.553;9:29.726|0.000|21.456;10:28.991|0.000|23.858;11:26.831|0.000|21.024;12:30.218|0.000|22.004;13:27.614|0.000|23.056;14:29.267|0.000|20.031;15:27.454|0.000|66.909;16:28.679|0.000|68.607;17:28.942|0.000|66.493;18:28.865|0.000|68.249;19:27.751|0.000|68.033;20:30.653|0.000|70.034;21:30.612|0.000|67.538;22:29.366|0.000|66.291;23:28.134|0.000|67.917;24:27.617|0.000|68.942;25:29.411|0.000|68.554;26:27.816|0.000|70.088;27:27.485|0.000|69.806;28:28.913|0.000|69.037;29:29.685|0.000|70.827"
1.192,"default_goal_head",-0.0011,4.2787,0.4261,0.0000,0.2920,20.0660,19.6399,0.3601,33.3882,33.3882,0,30,"0:28.282|0.000|21.947;1:27.611|0.000|22.252;2:28.686|0.000|21.704;3:27.459|0.000|19.418;4:29.324|0.000|20.957;5:29.779|0.000|22.429;6:28.793|0.000|21.160;7:27.644|0.000|20.021;8:27.284|0.000|20.556;9:29.737|0.000|21.488;10:28.991|0.000|23.858;11:26.840|0.000|21.062;12:30.241|0.000|22.019;13:27.625|0.000|23.090;14:29.267|0.000|20.031;15:27.454|0.000|66.909;16:28.675|0.000|68.622;17:28.939|0.000|66.505;18:28.875|0.000|68.246;19:27.750|0.000|68.036;20:30.653|0.000|70.034;21:30.612|0.000|67.538;22:29.366|0.000|66.291;23:28.134|0.000|67.917;24:27.617|0.000|68.942;25:29.411|0.000|68.554;26:27.816|0.000|70.088;27:27.485|0.000|69.806;28:28.913|0.000|69.037;29:29.685|0.000|70.827"
1.295,"default_goal_head",-0.0012,4.2787,0.4561,0.0000,0.2920,20.0660,19.6099,0.3901,33.3505,33.3505,0,30,"0:28.283|0.000|21.980;1:27.589|0.000|22.270;2:28.691|0.000|21.713;3:27.447|0.000|19.400;4:29.312|0.000|20.933;5:29.772|0.000|22.459;6:28.793|0.000|21.153;7:27.637|0.000|20.022;8:27.306|0.000|20.563;9:29.739|0.000|21.503;10:28.991|0.000|23.859;11:26.847|0.000|21.102;12:30.278|0.000|22.029;13:27.639|0.000|23.134;14:29.267|0.000|20.031;15:27.454|0.000|66.909;16:28.669|0.000|68.641;17:28.932|0.000|66.526;18:28.892|0.000|68.241;19:27.747|0.000|68.045;20:30.653|0.000|70.034;21:30.612|0.000|67.538;22:29.370|0.000|66.291;23:28.136|0.000|67.916;24:27.617|0.000|68.942;25:29.411|0.000|68.554;26:27.816|0.000|70.088;27:27.485|0.000|69.806;28:28.913|0.000|69.037;29:29.685|0.000|70.827"
1.404,"default_goal_head",-0.0013,4.2787,0.4891,0.0000,0.2920,20.0660,19.5769,0.4231,33.2990,33.2990,0,30,"0:28.269|0.000|22.020;1:27.561|0.000|22.294;2:28.701|0.000|21.723;3:27.431|0.000|19.365;4:29.306|0.000|20.881;5:29.761|0.000|22.499;6:28.814|0.000|21.106;7:27.633|0.000|20.021;8:27.407|0.000|20.650;9:29.743|0.000|21.519;10:28.994|0.000|23.868;11:26.841|0.000|21.135;12:30.320|0.000|22.042;13:27.643|0.000|23.184;14:29.267|0.000|20.031;15:27.454|0.000|66.909;16:28.677|0.000|68.669;17:28.902|0.000|66.580;18:28.939|0.000|68.210;19:27.732|0.000|68.079;20:30.653|0.000|70.034;21:30.612|0.000|67.538;22:29.395|0.000|66.283;23:28.159|0.000|67.910;24:27.617|0.000|68.942;25:29.417|0.000|68.561;26:27.819|0.000|70.093;27:27.484|0.000|69.806;28:28.913|0.000|69.037;29:29.685|0.000|70.827"
