time,run_label,robot_x,robot_y,robot_z,goal_x,goal_y,goal_z,dist_to_goal,progress_along_goal_direction,min_dist_to_ped_so_far,current_min_dist_to_ped,collision_count,num_pedestrians,pedestrian_positions
0.000,"TestAuto",0.0000,0.3920,0.0690,0.0000,0.2920,20.0660,19.9970,0.0030,-1,-1.0000,0,0,""
0.353,"TestAuto",-0.0003,3.8920,0.1740,0.0000,0.2920,20.0660,19.8920,0.1080,34.8770,34.8770,0,30,"0:28.926|0.000|22.963;1:27.499|0.000|23.192;2:29.955|0.000|19.196;3:25.829|0.000|25.038;4:31.455|0.000|19.641;5:29.125|0.000|19.630;6:29.427|0.000|20.629;7:30.354|0.000|19.181;8:30.754|0.000|19.218;9:29.793|0.000|20.361;10:30.553|0.000|23.368;11:26.958|0.000|23.525;12:30.401|0.000|21.446;13:28.807|0.000|21.879;14:28.772|0.000|19.885;15:29.240|0.000|68.164;16:29.842|0.000|66.753;17:27.179|0.000|67.620;18:28.926|0.000|67.916;19:28.939|0.000|70.948;20:31.036|0.000|68.774;21:29.629|0.000|69.757;22:29.523|0.000|67.544;23:29.138|0.000|68.715;24:28.857|0.000|68.430;25:29.959|0.000|70.087;26:28.909|0.000|69.630;27:29.820|0.000|68.134;28:28.354|0.000|68.716;29:30.794|0.000|67.968"
0.508,"TestAuto",-0.0005,4.2787,0.2190,0.0000,0.2920,20.0660,19.8470,0.1530,34.8517,34.8517,0,30,"0:28.926|0.000|22.963;1:27.499|0.000|23.192;2:29.955|0.000|19.196;3:25.829|0.000|25.038;4:31.455|0.000|19.641;5:29.125|0.000|19.630;6:29.427|0.000|20.629;7:30.354|0.000|19.181;8:30.754|0.000|19.218;9:29.793|0.000|20.361;10:30.553|0.000|23.368;11:26.958|0.000|23.525;12:30.401|0.000|21.446;13:28.807|0.000|21.879;14:28.772|0.000|19.885;15:29.240|0.000|68.164;16:29.842|0.000|66.753;17:27.179|0.000|67.620;18:28.926|0.000|67.916;19:28.939|0.000|70.948;20:31.036|0.000|68.774;21:29.629|0.000|69.757;22:29.523|0.000|67.544;23:29.138|0.000|68.715;24:28.857|0.000|68.430;25:29.959|0.000|70.087;26:28.909|0.000|69.630;27:29.820|0.000|68.134;28:28.354|0.000|68.716;29:30.794|0.000|67.968"
0.639,"TestAuto",-0.0006,4.2787,0.2581,0.0000,0.2920,20.0660,19.8080,0.1921,34.8298,34.8298,0,30,"0:28.935|0.000|23.000;1:27.505|0.000|23.189;2:29.953|0.000|19.196;3:25.829|0.000|25.038;4:31.455|0.000|19.641;5:29.125|0.000|19.630;6:29.427|0.000|20.629;7:30.354|0.000|19.181;8:30.754|0.000|19.218;9:29.793|0.000|20.361;10:30.553|0.000|23.368;11:26.958|0.000|23.525;12:30.401|0.000|21.446;13:28.807|0.000|21.879;14:28.772|0.000|19.885;15:29.240|0.000|68.164;16:29.842|0.000|66.753;17:27.179|0.000|67.620;18:28.926|0.000|67.916;19:28.939|0.000|70.948;20:31.036|0.000|68.774;21:29.629|0.000|69.757;22:29.523|0.000|67.544;23:29.138|0.000|68.715;24:28.857|0.000|68.430;25:29.959|0.000|70.087;26:28.909|0.000|69.630;27:29.820|0.000|68.134;28:28.354|0.000|68.716;29:30.794|0.000|67.968"
0.767,"TestAuto",-0.0007,4.2787,0.2971,0.0000,0.2920,20.0660,19.7689,0.2311,34.8079,34.8079,0,30,"0:28.934|0.000|23.010;1:27.505|0.000|23.189;2:29.953|0.000|19.196;3:25.829|0.000|25.038;4:31.456|0.000|19.642;5:29.126|0.000|19.630;6:29.427|0.000|20.629;7:30.354|0.000|19.181;8:30.754|0.000|19.218;9:29.793|0.000|20.361;10:30.553|0.000|23.368;11:26.958|0.000|23.525;12:30.401|0.000|21.446;13:28.807|0.000|21.879;14:28.772|0.000|19.885;15:29.240|0.000|68.164;16:29.842|0.000|66.753;17:27.179|0.000|67.620;18:28.926|0.000|67.916;19:28.939|0.000|70.948;20:31.036|0.000|68.774;21:29.629|0.000|69.757;22:29.523|0.000|67.544;23:29.138|0.000|68.715;24:28.857|0.000|68.430;25:29.959|0.000|70.087;26:28.909|0.000|69.630;27:29.820|0.000|68.134;28:28.354|0.000|68.716;29:30.794|0.000|67.968"
0.887,"TestAuto",-0.0008,4.2787,0.3331,0.0000,0.2920,20.0660,19.7329,0.2671,34.7878,34.7878,0,30,"0:28.934|0.000|23.010;1:27.505|0.000|23.189;2:29.950|0.000|19.200;3:25.836|0.000|25.044;4:31.461|0.000|19.658;5:29.147|0.000|19.623;6:29.426|0.000|20.643;7:30.354|0.000|19.181;8:30.759|0.000|19.224;9:29.801|0.000|20.360;10:30.553|0.000|23.368;11:26.958|0.000|23.526;12:30.401|0.000|21.446;13:28.807|0.000|21.879;14:28.772|0.000|19.885;15:29.240|0.000|68.164;16:29.842|0.000|66.753;17:27.179|0.000|67.620;18:28.926|0.000|67.916;19:28.939|0.000|70.948;20:31.036|0.000|68.774;21:29.629|0.000|69.757;22:29.523|0.000|67.544;23:29.138|0.000|68.715;24:28.857|0.000|68.430;25:29.959|0.000|70.087;26:28.909|0.000|69.630;27:29.820|0.000|68.134;28:28.354|0.000|68.716;29:30.794|0.000|67.968"
1.011,"TestAuto",-0.0009,4.2787,0.3721,0.0000,0.2920,20.0660,19.6939,0.3061,34.7674,34.7674,0,30,"0:28.934|0.000|23.012;1:27.521|0.000|23.191;2:29.939|0.000|19.217;3:25.855|0.000|25.059;4:31.474|0.000|19.700;5:29.177|0.000|19.606;6:29.429|0.000|20.678;7:30.355|0.000|19.181;8:30.775|0.000|19.239;9:29.835|0.000|20.349;10:30.553|0.000|23.368;11:26.957|0.000|23.539;12:30.401|0.000|21.446;13:28.807|0.000|21.879;14:28.772|0.000|19.889;15:29.241|0.000|68.165;16:29.842|0.000|66.753;17:27.179|0.000|67.620;18:28.926|0.000|67.916;19:28.939|0.000|70.948;20:31.036|0.000|68.774;21:29.629|0.000|69.757;22:29.523|0.000|67.544;23:29.138|0.000|68.715;24:28.857|0.000|68.430;25:29.959|0.000|70.087;26:28.909|0.000|69.630;27:29.820|0.000|68.134;28:28.354|0.000|68.716;29:30.794|0.000|67.968"
1.131,"TestAuto",-0.0010,4.2787,0.4081,0.0000,0.2920,20.0660,19.6579,0.3421,34.7581,34.7581,0,30,"0:28.940|0.000|23.033;1:27.562|0.000|23.192;2:29.924|0.000|19.245;3:25.882|0.000|25.079;4:31.494|0.000|19.773;5:29.203|0.000|19.612;6:29.430|0.000|20.734;7:30.375|0.000|19.169;8:30.802|0.000|19.263;9:29.835|0.000|20.348;10:30.553|0.000|23.368;11:26.957|0.000|23.570;12:30.403|0.000|21.451;13:28.807|0.000|21.879;14:28.770|0.000|19.911;15:29.252|0.000|68.175;16:29.853|0.000|66.753;17:27.179|0.000|67.620;18:28.911|0.000|67.914;19:28.939|0.000|70.948;20:31.036|0.000|68.775;21:29.628|0.000|69.757;22:29.524|0.000|67.544;23:29.138|0.000|68.715;24:28.857|0.000|68.430;25:29.959|0.000|70.087;26:28.909|0.000|69.630;27:29.820|0.000|68.134;28:28.354|0.000|68.716;29:30.794|0.000|67.968"
1.268,"TestAuto",-0.0012,4.2787,0.4471,0.0000,0.2920,20.0660,19.6189,0.3811,34.7581,34.7613,0,30,"0:28.954|0.000|23.082;1:27.635|0.000|23.188;2:29.894|0.000|19.285;3:25.916|0.000|25.105;4:31.506|0.000|19.848;5:29.230|0.000|19.610;6:29.417|0.000|20.784;7:30.409|0.000|19.126;8:30.845|0.000|19.307;9:29.921|0.000|20.347;10:30.553|0.000|23.370;11:26.958|0.000|23.619;12:30.416|0.000|21.486;13:28.807|0.000|21.879;14:28.772|0.000|19.952;15:29.288|0.000|68.190;16:29.877|0.000|66.751;17:27.179|0.000|67.620;18:28.863|0.000|67.897;19:28.939|0.000|70.948;20:31.035|0.000|68.787;21:29.605|0.000|69.753;22:29.537|0.000|67.543;23:29.142|0.000|68.722;24:28.852|0.000|68.431;25:29.960|0.000|70.089;26:28.908|0.000|69.630;27:29.820|0.000|68.134;28:28.354|0.000|68.716;29:30.794|0.000|67.968"
1.377,"TestAuto",-0.0013,4.2787,0.4801,0.0000,0.2920,20.0660,19.5859,0.4141,34.7581,34.7590,0,30,"0:28.964|0.000|23.137;1:27.686|0.000|23.188;2:29.869|0.000|19.316;3:25.942|0.000|25.124;4:31.508|0.000|19.906;5:29.235|0.000|19.607;6:29.404|0.000|20.826;7:30.451|0.000|19.040;8:30.888|0.000|19.360;9:29.974|0.000|20.344;10:30.553|0.000|23.378;11:26.944|0.000|23.661;12:30.434|0.000|21.538;13:28.807|0.000|21.879;14:28.762|0.000|19.996;15:29.231|0.000|68.221;16:29.915|0.000|66.740;17:27.179|0.000|67.620;18:28.796|0.000|67.850;19:28.939|0.000|70.948;20:31.032|0.000|68.808;21:29.560|0.000|69.736;22:29.565|0.000|67.534;23:29.160|0.000|68.739;24:28.833|0.000|68.447;25:29.972|0.000|70.103;26:28.901|0.000|69.641;27:29.825|0.000|68.141;28:28.353|0.000|68.722;29:30.794|0.000|67.968"
1.494,"TestAuto",-0.0014,4.2787,0.5161,0.0000,0.2920,20.0660,19.5499,0.4501,34.7491,34.7491,0,30,"0:28.965|0.000|23.181;1:27.741|0.000|23.189;2:29.835|0.000|19.355;3:25.971|0.000|25.148;4:31.505|0.000|19.960;5:29.252|0.000|19.586;6:29.390|0.000|20.875;7:30.485|0.000|18.948;8:30.930|0.000|19.436;9:30.010|0.000|20.341;10:30.556|0.000|23.401;11:26.926|0.000|23.710;12:30.444|0.000|21.594;13:28.806|0.000|21.881;14:28.744|0.000|20.040;15:29.249|0.000|68.210;16:29.983|0.000|66.707;17:27.179|0.000|67.620;18:28.750|0.000|67.847;19:28.939|0.000|70.948;20:31.011|0.000|68.894;21:29.490|0.000|69.705;22:29.604|0.000|67.499;23:29.206|0.000|68.760;24:28.808|0.000|68.486;25:30.009|0.000|70.125;26:28.881|0.000|69.679;27:29.854|0.000|68.164;28:28.344|0.000|68.752;29:30.795|0.000|67.967"
