time,run_label,robot_x,robot_y,robot_z,goal_x,goal_y,goal_z,dist_to_goal,progress_along_goal_direction,min_dist_to_ped_so_far,current_min_dist_to_ped,collision_count,num_pedestrians,pedestrian_positions
0.000,"weak_goal_head",0.0000,0.3920,0.0690,0.0000,0.2920,20.0660,19.9970,0.0030,-1,-1.0000,0,0,""
0.353,"weak_goal_head",-0.0003,3.8920,0.1740,0.0000,0.2920,20.0660,19.8920,0.1080,33.4169,33.4169,0,30,"0:28.846|0.000|22.549;1:27.244|0.000|20.092;2:31.511|0.000|21.578;3:30.639|0.000|23.430;4:27.293|0.000|22.534;5:28.089|0.000|23.249;6:28.929|0.000|21.260;7:28.951|0.000|19.904;8:27.116|0.000|21.265;9:30.359|0.000|22.005;10:26.426|0.000|20.627;11:28.571|0.000|20.031;12:29.315|0.000|20.832;13:27.922|0.000|20.290;14:28.085|0.000|22.738;15:29.927|0.000|67.901;16:29.515|0.000|69.396;17:27.816|0.000|69.729;18:28.137|0.000|68.035;19:29.668|0.000|68.392;20:27.777|0.000|68.614;21:31.118|0.000|67.132;22:30.681|0.000|68.626;23:28.987|0.000|69.002;24:28.865|0.000|68.390;25:28.220|0.000|68.552;26:29.367|0.000|68.104;27:30.332|0.000|70.601;28:30.400|0.000|67.878;29:26.979|0.000|70.228"
0.484,"weak_goal_head",-0.0005,4.2787,0.2130,0.0000,0.2920,20.0660,19.8530,0.1470,33.3931,33.3931,0,30,"0:28.881|0.000|22.533;1:27.244|0.000|20.092;2:31.511|0.000|21.578;3:30.639|0.000|23.430;4:27.293|0.000|22.534;5:28.089|0.000|23.249;6:28.929|0.000|21.260;7:28.951|0.000|19.904;8:27.116|0.000|21.265;9:30.359|0.000|22.005;10:26.426|0.000|20.627;11:28.571|0.000|20.031;12:29.315|0.000|20.832;13:27.922|0.000|20.290;14:28.085|0.000|22.738;15:29.927|0.000|67.901;16:29.515|0.000|69.396;17:27.816|0.000|69.729;18:28.137|0.000|68.035;19:29.668|0.000|68.392;20:27.777|0.000|68.614;21:31.118|0.000|67.132;22:30.681|0.000|68.626;23:28.987|0.000|69.002;24:28.865|0.000|68.390;25:28.220|0.000|68.552;26:29.367|0.000|68.104;27:30.332|0.000|70.601;28:30.400|0.000|67.878;29:26.979|0.000|70.228"
0.591,"weak_goal_head",-0.0006,4.2787,0.2460,0.0000,0.2920,20.0660,19.8200,0.1800,33.3730,33.3730,0,30,"0:28.880|0.000|22.534;1:27.231|0.000|20.089;2:31.507|0.000|21.576;3:30.639|0.000|23.430;4:27.293|0.000|22.534;5:28.089|0.000|23.249;6:28.929|0.000|21.260;7:28.951|0.000|19.904;8:27.116|0.000|21.265;9:30.359|0.000|22.005;10:26.426|0.000|20.627;11:28.571|0.000|20.031;12:29.315|0.000|20.832;13:27.922|0.000|20.290;14:28.085|0.000|22.738;15:29.927|0.000|67.901;16:29.515|0.000|69.396;17:27.816|0.000|69.729;18:28.137|0.000|68.035;19:29.668|0.000|68.392;20:27.777|0.000|68.614;21:31.118|0.000|67.132;22:30.681|0.000|68.626;23:28.987|0.000|69.002;24:28.865|0.000|68.390;25:28.220|0.000|68.552;26:29.367|0.000|68.104;27:30.332|0.000|70.601;28:30.400|0.000|67.878;29:26.979|0.000|70.228"
0.702,"weak_goal_head",-0.0007,4.2787,0.2791,0.0000,0.2920,20.0660,19.7869,0.2131,33.3529,33.3529,0,30,"0:28.893|0.000|22.537;1:27.230|0.000|20.089;2:31.507|0.000|21.576;3:30.639|0.000|23.430;4:27.293|0.000|22.534;5:28.089|0.000|23.249;6:28.929|0.000|21.260;7:28.951|0.000|19.904;8:27.116|0.000|21.265;9:30.359|0.000|22.005;10:26.426|0.000|20.627;11:28.571|0.000|20.031;12:29.315|0.000|20.832;13:27.922|0.000|20.290;14:28.085|0.000|22.738;15:29.927|0.000|67.901;16:29.515|0.000|69.396;17:27.816|0.000|69.729;18:28.137|0.000|68.035;19:29.668|0.000|68.392;20:27.777|0.000|68.614;21:31.118|0.000|67.132;22:30.681|0.000|68.626;23:28.987|0.000|69.002;24:28.865|0.000|68.390;25:28.220|0.000|68.552;26:29.367|0.000|68.104;27:30.332|0.000|70.601;28:30.400|0.000|67.878;29:26.979|0.000|70.228"
0.821,"weak_goal_head",-0.0008,4.2787,0.3151,0.0000,0.2920,20.0660,19.7509,0.2491,33.3311,33.3311,0,30,"0:28.894|0.000|22.537;1:27.230|0.000|20.089;2:31.507|0.000|21.576;3:30.639|0.000|23.430;4:27.291|0.000|22.534;5:28.090|0.000|23.251;6:28.929|0.000|21.262;7:28.960|0.000|19.902;8:27.117|0.000|21.268;9:30.359|0.000|22.005;10:26.426|0.000|20.627;11:28.571|0.000|20.031;12:29.315|0.000|20.832;13:27.922|0.000|20.290;14:28.085|0.000|22.738;15:29.927|0.000|67.901;16:29.515|0.000|69.396;17:27.816|0.000|69.729;18:28.137|0.000|68.035;19:29.668|0.000|68.392;20:27.777|0.000|68.614;21:31.118|0.000|67.132;22:30.681|0.000|68.626;23:28.987|0.000|69.002;24:28.865|0.000|68.390;25:28.220|0.000|68.552;26:29.367|0.000|68.104;27:30.332|0.000|70.601;28:30.400|0.000|67.878;29:26.979|0.000|70.228"
0.937,"weak_goal_head",-0.0009,4.2787,0.3481,0.0000,0.2920,20.0660,19.7179,0.2821,33.3110,33.3110,0,30,"0:28.894|0.000|22.537;1:27.223|0.000|20.089;2:31.501|0.000|21.582;3:30.639|0.000|23.430;4:27.271|0.000|22.542;5:28.096|0.000|23.272;6:28.930|0.000|21.282;7:28.967|0.000|19.910;8:27.124|0.000|21.287;9:30.359|0.000|22.005;10:26.426|0.000|20.627;11:28.570|0.000|20.035;12:29.321|0.000|20.831;13:27.922|0.000|20.292;14:28.085|0.000|22.738;15:29.926|0.000|67.901;16:29.515|0.000|69.396;17:27.816|0.000|69.729;18:28.137|0.000|68.035;19:29.668|0.000|68.392;20:27.777|0.000|68.614;21:31.118|0.000|67.132;22:30.681|0.000|68.626;23:28.987|0.000|69.002;24:28.865|0.000|68.390;25:28.220|0.000|68.552;26:29.367|0.000|68.104;27:30.332|0.000|70.601;28:30.400|0.000|67.878;29:26.979|0.000|70.228"
1.038,"weak_goal_head",-0.0010,4.2787,0.3781,0.0000,0.2920,20.0660,19.6879,0.3121,33.2927,33.2927,0,30,"0:28.903|0.000|22.542;1:27.195|0.000|20.090;2:31.490|0.000|21.596;3:30.639|0.000|23.430;4:27.235|0.000|22.556;5:28.108|0.000|23.311;6:28.934|0.000|21.315;7:29.007|0.000|19.924;8:27.137|0.000|21.322;9:30.359|0.000|22.005;10:26.426|0.000|20.628;11:28.565|0.000|20.050;12:29.342|0.000|20.827;13:27.924|0.000|20.305;14:28.082|0.000|22.737;15:29.917|0.000|67.900;16:29.516|0.000|69.399;17:27.817|0.000|69.729;18:28.136|0.000|68.035;19:29.668|0.000|68.392;20:27.777|0.000|68.614;21:31.118|0.000|67.132;22:30.681|0.000|68.626;23:28.987|0.000|69.002;24:28.865|0.000|68.390;25:28.220|0.000|68.552;26:29.367|0.000|68.104;27:30.332|0.000|70.601;28:30.400|0.000|67.878;29:26.979|0.000|70.228"
1.154,"weak_goal_head",-0.0011,4.2787,0.4141,0.0000,0.2920,20.0660,19.6519,0.3481,33.2679,33.2679,0,30,"0:28.926|0.000|22.552;1:27.117|0.000|20.076;2:31.472|0.000|21.619;3:30.638|0.000|23.434;4:27.188|0.000|22.577;5:28.121|0.000|23.373;6:28.938|0.000|21.368;7:29.067|0.000|19.934;8:27.154|0.000|21.380;9:30.358|0.000|22.009;10:26.414|0.000|20.637;11:28.558|0.000|20.074;12:29.362|0.000|20.818;13:27.931|0.000|20.331;14:28.061|0.000|22.732;15:29.883|0.000|67.893;16:29.530|0.000|69.414;17:27.824|0.000|69.729;18:28.124|0.000|68.034;19:29.672|0.000|68.398;20:27.776|0.000|68.616;21:31.118|0.000|67.132;22:30.682|0.000|68.627;23:28.987|0.000|69.002;24:28.865|0.000|68.390;25:28.220|0.000|68.552;26:29.367|0.000|68.104;27:30.332|0.000|70.601;28:30.400|0.000|67.878;29:26.979|0.000|70.228"
1.256,"weak_goal_head",-0.0012,4.2787,0.4441,0.0000,0.2920,20.0660,19.6219,0.3781,33.2542,33.2542,0,30,"0:28.960|0.000|22.565;1:27.042|0.000|20.051;2:31.446|0.000|21.644;3:30.638|0.000|23.453;4:27.155|0.000|22.599;5:28.121|0.000|23.410;6:28.929|0.000|21.407;7:29.117|0.000|19.942;8:27.161|0.000|21.423;9:30.357|0.000|22.028;10:26.398|0.000|20.666;11:28.547|0.000|20.095;12:29.405|0.000|20.819;13:27.943|0.000|20.356;14:28.021|0.000|22.716;15:29.829|0.000|67.866;16:29.557|0.000|69.428;17:27.845|0.000|69.739;18:28.089|0.000|68.024;19:29.687|0.000|68.413;20:27.770|0.000|68.635;21:31.118|0.000|67.132;22:30.686|0.000|68.634;23:28.986|0.000|69.007;24:28.861|0.000|68.389;25:28.220|0.000|68.553;26:29.366|0.000|68.104;27:30.332|0.000|70.601;28:30.400|0.000|67.878;29:26.979|0.000|70.228"
1.375,"weak_goal_head",-0.0013,4.2787,0.4801,0.0000,0.2920,20.0660,19.5859,0.4141,33.2490,33.2490,0,30,"0:29.004|0.000|22.586;1:26.999|0.000|20.035;2:31.421|0.000|21.667;3:30.642|0.000|23.495;4:27.120|0.000|22.626;5:28.121|0.000|23.452;6:28.921|0.000|21.439;7:29.169|0.000|19.951;8:27.168|0.000|21.470;9:30.359|0.000|22.069;10:26.380|0.000|20.716;11:28.542|0.000|20.099;12:29.463|0.000|20.813;13:27.938|0.000|20.379;14:27.956|0.000|22.679;15:29.770|0.000|67.813;16:29.595|0.000|69.436;17:27.892|0.000|69.750;18:28.026|0.000|67.987;19:29.720|0.000|68.433;20:27.750|0.000|68.674;21:31.118|0.000|67.132;22:30.700|0.000|68.647;23:28.983|0.000|69.023;24:28.841|0.000|68.387;25:28.227|0.000|68.562;26:29.354|0.000|68.102;27:30.332|0.000|70.601;28:30.402|0.000|67.878;29:26.979|0.000|70.228"
